,Unnamed: 0,fire_weather.tm,fire_weather.district_1,fire_weather.district_2,fire_weather.stn,fire_weather.ta_max,fire_weather.ta_min,fire_weather.ta_max_min,fire_weather.rn_day,fire_weather.ws_max,fire_weather.ws_ins_max,fire_weather.ws_mean,fire_weather.ws_min,fire_weather.hm_max,fire_weather.hm_mean,fire_weather.hm_min
405927,414728,2019-08-07,경상북도,경주시,811,34.7,23.3,11.4,,4.1,7.1,2.1,0.1,98.2,79.5,55.1
405964,414765,2019-09-13,경상북도,경주시,811,26.5,15.4,11.1,,4.6,8.5,1.6,0.0,98.8,81.3,53.3
406185,414986,2020-04-21,경상북도,경주시,811,18.4,5.9,12.5,,8.3,15.8,3.8,0.4,75.3,36.4,15.3
406257,415058,2020-07-02,경상북도,경주시,811,28.1,16.4,11.7,,3.4,6.9,1.3,0.0,98.3,75.4,51.3
406343,415144,2020-09-26,경상북도,경주시,811,24.1,11.9,12.2,,5.2,9.5,2.0,0.3,97.2,77.8,56.2
406398,415199,2020-11-20,경상북도,경주시,811,13.4,4.7,8.7,,5.1,10.3,3.1,0.9,69.6,61.6,49.3
406464,415265,2021-01-25,경상북도,경주시,811,11.9,2.2,9.7,,4.0,6.9,1.2,0.0,97.5,77.5,53.1
406722,415523,2021-10-10,경상북도,경주시,811,31.1,18.9,12.2,,3.3,7.5,1.3,0.2,99.0,81.3,48.2
409721,418522,2023-11-30,경상북도,김천시,822,,,,,5.0,,2.8,1.9,63.0,63.0,63.0
414104,422905,2018-01-01,경상북도,영주시,837,4.0,-9.6,13.6,0.0,4.2,7.4,1.7,0.4,,,
414105,422906,2018-01-02,경상북도,영주시,837,4.4,-10.2,14.6,0.0,5.0,10.0,2.0,0.3,,,
414106,422907,2018-01-03,경상북도,영주시,837,3.3,-10.7,14.0,0.0,3.1,6.4,1.2,0.0,,,
414107,422908,2018-01-04,경상북도,영주시,837,3.1,-12.4,15.5,0.0,2.0,3.7,0.5,0.0,,,
414108,422909,2018-01-05,경상북도,영주시,837,6.0,-6.5,12.5,0.0,3.5,9.6,1.1,0.0,,,
414109,422910,2018-01-06,경상북도,영주시,837,5.1,-12.6,17.7,0.0,2.0,3.7,0.7,0.2,,,
414110,422911,2018-01-07,경상북도,영주시,837,2.5,-13.4,15.9,0.0,1.9,3.2,0.4,0.0,,,
414111,422912,2018-01-08,경상북도,영주시,837,2.1,-2.8,4.9,1.0,2.7,5.8,0.8,0.0,,,
414112,422913,2018-01-09,경상북도,영주시,837,0.1,-7.1,7.2,0.0,4.9,10.0,2.2,0.6,,,
414113,422914,2018-01-10,경상북도,영주시,837,-2.6,-10.2,7.6,0.5,5.1,10.4,2.1,0.2,,,
414114,422915,2018-01-11,경상북도,영주시,837,-5.0,-12.8,7.8,0.0,4.3,7.4,2.2,1.3,,,
414115,422916,2018-01-12,경상북도,영주시,837,-4.0,-20.0,16.0,0.0,4.2,7.5,1.3,0.2,,,
414116,422917,2018-01-13,경상북도,영주시,837,0.0,-14.3,14.3,0.0,3.1,5.0,0.9,0.1,,,
414117,422918,2018-01-14,경상북도,영주시,837,5.4,-14.3,19.7,0.0,2.3,4.9,0.6,0.0,,,
414118,422919,2018-01-15,경상북도,영주시,837,10.2,-5.5,15.7,0.0,3.4,8.1,0.9,0.1,,,
414119,422920,2018-01-16,경상북도,영주시,837,7.2,-5.8,13.0,0.5,2.4,5.0,0.4,0.0,,,
414120,422921,2018-01-17,경상북도,영주시,837,5.5,-0.5,6.0,7.5,1.7,3.9,0.4,0.0,,,
414121,422922,2018-01-18,경상북도,영주시,837,7.7,-2.0,9.7,0.0,3.2,6.0,1.0,0.0,,,
414122,422923,2018-01-19,경상북도,영주시,837,7.1,-6.3,13.4,0.0,2.2,4.3,0.6,0.1,,,
414123,422924,2018-01-20,경상북도,영주시,837,5.7,-9.0,14.7,0.0,2.6,5.4,0.6,0.0,,,
414124,422925,2018-01-21,경상북도,영주시,837,8.0,-8.3,16.3,0.0,1.9,3.4,0.5,0.1,,,
414125,422926,2018-01-22,경상북도,영주시,837,7.2,-3.5,10.7,0.5,4.1,9.8,0.7,0.1,,,
414126,422927,2018-01-23,경상북도,영주시,837,0.1,-12.0,12.1,0.0,5.9,13.6,3.5,1.7,,,
414127,422928,2018-01-24,경상북도,영주시,837,-8.8,-17.6,8.8,0.0,6.4,12.9,3.6,0.7,,,
414128,422929,2018-01-25,경상북도,영주시,837,-5.5,-20.6,15.1,0.0,3.2,7.3,1.4,0.1,,,
414129,422930,2018-01-26,경상북도,영주시,837,-6.1,-19.9,13.8,0.0,2.6,5.2,1.0,0.0,,,
414130,422931,2018-01-27,경상북도,영주시,837,-0.2,-21.5,21.3,0.0,2.2,4.2,0.7,0.1,,,
414131,422932,2018-01-28,경상북도,영주시,837,0.6,-8.3,8.9,0.0,4.8,10.6,1.9,0.1,,,
414132,422933,2018-01-29,경상북도,영주시,837,-3.4,-10.4,7.0,0.0,5.3,10.9,2.7,1.0,,,
414133,422934,2018-01-30,경상북도,영주시,837,0.2,-17.1,17.3,0.0,4.1,7.9,1.3,0.1,,,
414134,422935,2018-01-31,경상북도,영주시,837,2.7,-4.3,7.0,0.0,3.8,7.7,1.8,0.1,,,
414135,422936,2018-02-01,경상북도,영주시,837,5.6,-13.1,18.7,0.0,2.5,4.4,0.7,0.0,,,
414136,422937,2018-02-02,경상북도,영주시,837,5.1,-15.1,20.2,0.0,3.0,5.2,0.8,0.1,,,
414137,422938,2018-02-03,경상북도,영주시,837,-1.7,-12.8,11.1,0.0,4.7,9.2,2.1,0.3,,,
414138,422939,2018-02-04,경상북도,영주시,837,-3.7,-15.0,11.3,0.0,4.0,8.2,2.2,0.6,,,
414139,422940,2018-02-05,경상북도,영주시,837,-3.7,-15.0,11.3,0.0,4.7,8.6,2.8,1.8,,,
414140,422941,2018-02-06,경상북도,영주시,837,-4.2,-16.1,11.9,0.0,5.1,8.3,2.2,0.9,,,
414141,422942,2018-02-07,경상북도,영주시,837,-0.4,-21.0,20.6,0.0,3.5,6.2,1.2,0.3,,,
414142,422943,2018-02-08,경상북도,영주시,837,3.7,-18.3,22.0,0.0,2.3,4.2,0.6,0.1,,,
414143,422944,2018-02-09,경상북도,영주시,837,8.8,-12.5,21.3,0.0,3.2,6.7,0.9,0.1,,,
414144,422945,2018-02-10,경상북도,영주시,837,7.0,-5.8,12.8,0.0,5.9,11.3,1.7,0.2,,,
414145,422946,2018-02-11,경상북도,영주시,837,-1.3,-8.7,7.4,0.0,4.6,9.3,2.6,0.8,,,
414146,422947,2018-02-12,경상북도,영주시,837,-0.8,-9.8,9.0,0.0,5.4,11.8,2.9,0.7,,,
414147,422948,2018-02-13,경상북도,영주시,837,4.8,-7.9,12.7,0.0,4.0,8.6,1.8,0.2,,,
414148,422949,2018-02-14,경상북도,영주시,837,12.1,-10.5,22.6,0.0,4.7,9.4,1.0,0.1,,,
414149,422950,2018-02-15,경상북도,영주시,837,9.6,-6.3,15.9,0.0,3.3,5.9,1.1,0.3,,,
414150,422951,2018-02-16,경상북도,영주시,837,8.1,-10.1,18.2,0.0,5.1,9.6,1.6,0.2,,,
414151,422952,2018-02-17,경상북도,영주시,837,4.1,-5.5,9.6,0.0,4.7,11.3,2.9,0.8,,,
414152,422953,2018-02-18,경상북도,영주시,837,5.7,-7.2,12.9,0.0,2.0,3.8,0.6,0.0,,,
414153,422954,2018-02-19,경상북도,영주시,837,10.8,-6.6,17.4,0.0,2.8,6.2,1.0,0.0,,,
414154,422955,2018-02-20,경상북도,영주시,837,8.9,-9.5,18.4,0.0,4.2,7.8,1.6,0.2,,,
414155,422956,2018-02-21,경상북도,영주시,837,6.6,-7.9,14.5,0.0,2.9,6.0,1.3,0.2,,,
414156,422957,2018-02-22,경상북도,영주시,837,7.4,-12.1,19.5,0.0,2.8,5.4,0.9,0.3,,,
414157,422958,2018-02-23,경상북도,영주시,837,8.4,-7.7,16.1,1.0,3.9,7.6,1.3,0.1,,,
414158,422959,2018-02-24,경상북도,영주시,837,12.4,0.7,11.7,0.0,2.5,5.9,1.3,0.3,,,
414159,422960,2018-02-25,경상북도,영주시,837,11.4,-4.0,15.4,0.0,2.7,6.3,0.8,0.1,,,
414160,422961,2018-02-26,경상북도,영주시,837,12.9,-9.4,22.3,0.0,2.4,4.5,0.7,0.0,,,
414161,422962,2018-02-27,경상북도,영주시,837,14.5,-7.7,22.2,0.0,2.1,3.9,0.6,0.0,,,
414162,422963,2018-02-28,경상북도,영주시,837,6.2,0.1,6.1,12.5,3.2,8.0,1.2,0.0,,,
414163,422964,2018-03-01,경상북도,영주시,837,6.2,-3.7,9.9,0.5,5.4,12.4,3.3,0.7,,,
414164,422965,2018-03-02,경상북도,영주시,837,8.8,-9.9,18.7,0.0,2.6,5.8,0.9,0.1,,,
414165,422966,2018-03-03,경상북도,영주시,837,16.7,-6.7,23.4,0.0,3.0,5.0,0.8,0.0,,,
414166,422967,2018-03-04,경상북도,영주시,837,21.8,-0.9,22.7,17.0,3.3,7.1,1.1,0.1,,,
414167,422968,2018-03-05,경상북도,영주시,837,8.9,0.8,8.1,17.5,5.0,10.1,1.4,0.2,,,
414168,422969,2018-03-06,경상북도,영주시,837,13.0,-4.1,17.1,0.0,4.5,8.3,0.8,0.0,,,
414169,422970,2018-03-07,경상북도,영주시,837,6.3,-0.4,6.7,2.0,3.6,6.8,0.8,0.0,,,
414170,422971,2018-03-08,경상북도,영주시,837,5.4,-0.6,6.0,6.5,2.0,5.7,0.5,0.0,,,
414171,422972,2018-03-09,경상북도,영주시,837,8.2,-3.0,11.2,0.0,3.4,5.4,0.9,0.0,,,
414172,422973,2018-03-10,경상북도,영주시,837,12.5,-2.4,14.9,0.0,3.0,6.0,1.1,0.0,,,
414173,422974,2018-03-11,경상북도,영주시,837,14.1,-3.4,17.5,0.0,3.9,7.6,1.4,0.2,,,
414174,422975,2018-03-12,경상북도,영주시,837,18.1,-4.1,22.2,0.0,3.1,5.9,0.9,0.1,,,
414175,422976,2018-03-13,경상북도,영주시,837,22.3,-2.5,24.8,0.0,4.7,8.9,1.2,0.1,,,
414176,422977,2018-03-14,경상북도,영주시,837,24.6,1.7,22.9,0.0,2.7,5.8,0.8,0.0,,,
414177,422978,2018-03-15,경상북도,영주시,837,13.7,5.3,8.4,4.5,4.1,9.5,0.4,0.0,,,
414178,422979,2018-03-16,경상북도,영주시,837,8.3,-4.6,12.9,0.5,3.9,8.3,1.9,0.1,,,
414179,422980,2018-03-17,경상북도,영주시,837,13.9,-7.1,21.0,0.0,2.1,4.7,0.7,0.0,,,
414180,422981,2018-03-18,경상북도,영주시,837,12.8,-1.2,14.0,1.0,2.5,5.1,0.7,0.0,,,
414181,422982,2018-03-19,경상북도,영주시,837,8.3,2.7,5.6,26.0,3.9,8.5,1.6,0.0,,,
414182,422983,2018-03-20,경상북도,영주시,837,9.0,0.3,8.7,0.0,5.2,12.0,2.9,1.7,,,
414183,422984,2018-03-21,경상북도,영주시,837,6.6,-1.2,7.8,1.5,2.8,8.4,1.1,0.1,,,
414184,422985,2018-03-22,경상북도,영주시,837,14.9,-1.0,15.9,0.0,3.5,6.2,1.3,0.3,,,
414185,422986,2018-03-23,경상북도,영주시,837,15.8,-3.8,19.6,0.0,2.9,5.9,1.1,0.2,,,
414186,422987,2018-03-24,경상북도,영주시,837,15.8,-1.7,17.5,0.0,4.4,8.4,1.3,0.3,,,
414187,422988,2018-03-25,경상북도,영주시,837,19.8,-0.7,20.5,0.0,4.6,8.9,1.6,0.2,,,
414188,422989,2018-03-26,경상북도,영주시,837,22.4,-1.0,23.4,0.0,3.3,7.1,1.3,0.1,,,
414189,422990,2018-03-27,경상북도,영주시,837,23.5,0.8,22.7,0.0,3.8,7.6,1.1,0.2,,,
414190,422991,2018-03-28,경상북도,영주시,837,24.5,4.0,20.5,0.0,3.3,6.9,1.4,0.1,,,
414191,422992,2018-03-29,경상북도,영주시,837,23.4,6.5,16.9,0.0,4.2,6.6,1.3,0.0,,,
414192,422993,2018-03-30,경상북도,영주시,837,20.7,2.6,18.1,0.0,3.9,6.5,1.2,0.1,,,
414193,422994,2018-03-31,경상북도,영주시,837,23.2,1.1,22.1,0.0,2.5,5.5,1.1,0.1,,,
414194,422995,2018-04-01,경상북도,영주시,837,23.5,6.8,16.7,0.0,4.0,7.5,0.9,0.2,,,
414195,422996,2018-04-02,경상북도,영주시,837,26.8,8.0,18.8,0.0,3.3,6.5,1.3,0.1,,,
414196,422997,2018-04-03,경상북도,영주시,837,26.6,7.8,18.8,0.0,2.9,5.7,1.0,0.2,,,
414197,422998,2018-04-04,경상북도,영주시,837,18.1,5.2,12.9,22.0,3.9,9.0,1.2,0.0,,,
414198,422999,2018-04-05,경상북도,영주시,837,5.9,4.3,1.6,18.5,1.4,3.8,0.4,0.1,,,
414199,423000,2018-04-06,경상북도,영주시,837,14.2,2.9,11.3,18.5,6.5,12.7,1.9,0.0,,,
414200,423001,2018-04-07,경상북도,영주시,837,8.7,0.2,8.5,0.0,5.3,12.6,2.5,0.3,,,
414201,423002,2018-04-08,경상북도,영주시,837,12.3,-1.0,13.3,0.0,4.4,9.3,2.2,0.3,,,
414202,423003,2018-04-09,경상북도,영주시,837,18.2,3.4,14.8,0.0,3.0,7.1,1.3,0.3,,,
414203,423004,2018-04-10,경상북도,영주시,837,22.6,-0.7,23.3,0.0,4.2,8.0,1.4,0.1,,,
414204,423005,2018-04-11,경상북도,영주시,837,21.6,8.9,12.7,8.5,5.1,9.7,1.9,0.6,,,
414205,423006,2018-04-12,경상북도,영주시,837,21.8,0.7,21.1,0.0,6.1,13.9,2.3,0.2,,,
414206,423007,2018-04-13,경상북도,영주시,837,20.8,2.4,18.4,0.0,5.0,7.6,1.6,0.2,,,
414207,423008,2018-04-14,경상북도,영주시,837,10.3,5.3,5.0,29.0,3.9,8.9,0.8,0.1,,,
414208,423009,2018-04-15,경상북도,영주시,837,15.9,7.0,8.9,0.0,3.9,7.7,2.3,1.1,,,
414209,423010,2018-04-16,경상북도,영주시,837,20.1,1.0,19.1,0.0,4.1,6.8,1.2,0.1,,,
414210,423011,2018-04-17,경상북도,영주시,837,22.3,3.5,18.8,0.0,3.0,5.8,0.9,0.0,,,
414211,423012,2018-04-18,경상북도,영주시,837,24.5,1.9,22.6,0.0,3.0,6.0,1.2,0.2,,,
414212,423013,2018-04-19,경상북도,영주시,837,26.5,1.5,25.0,0.0,3.3,8.1,1.5,0.1,,,
414213,423014,2018-04-20,경상북도,영주시,837,29.5,6.1,23.4,0.0,2.4,4.9,0.9,0.1,,,
414214,423015,2018-04-21,경상북도,영주시,837,31.6,6.9,24.7,0.0,3.7,7.3,1.0,0.1,,,
414215,423016,2018-04-22,경상북도,영주시,837,23.8,7.8,16.0,0.0,3.9,10.1,1.4,0.1,,,
414216,423017,2018-04-23,경상북도,영주시,837,12.3,8.1,4.2,35.5,3.5,8.4,1.6,0.0,,,
414217,423018,2018-04-24,경상북도,영주시,837,15.8,4.4,11.4,17.0,2.6,5.1,0.6,0.0,,,
414218,423019,2018-04-25,경상북도,영주시,837,23.3,-0.5,23.8,0.0,2.7,5.4,0.8,0.1,,,
414219,423020,2018-04-26,경상북도,영주시,837,25.1,2.3,22.8,0.0,3.1,8.0,1.2,0.0,,,
414220,423021,2018-04-27,경상북도,영주시,837,25.3,6.3,19.0,0.0,2.7,6.0,1.0,0.1,,,
414221,423022,2018-04-28,경상북도,영주시,837,27.5,4.5,23.0,0.0,2.8,6.6,1.1,0.1,,,
414222,423023,2018-04-29,경상북도,영주시,837,27.4,3.9,23.5,0.0,3.5,6.5,1.2,0.2,,,
414223,423024,2018-04-30,경상북도,영주시,837,28.5,7.2,21.3,0.0,2.9,5.1,0.8,0.1,,,
414224,423025,2018-05-01,경상북도,영주시,837,26.3,9.3,17.0,3.5,2.8,5.6,0.9,0.1,,,
414225,423026,2018-05-02,경상북도,영주시,837,17.3,10.6,6.7,31.0,3.3,7.4,0.8,0.0,,,
414226,423027,2018-05-03,경상북도,영주시,837,17.7,4.1,13.6,2.0,6.0,13.2,2.6,0.8,,,
414227,423028,2018-05-04,경상북도,영주시,837,21.6,2.2,19.4,0.0,6.2,12.9,2.0,0.2,,,
414228,423029,2018-05-05,경상북도,영주시,837,26.0,4.9,21.1,0.0,2.4,5.0,1.0,0.3,,,
414229,423030,2018-05-06,경상북도,영주시,837,16.2,11.7,4.5,21.5,1.3,3.6,0.4,0.0,,,
414230,423031,2018-05-07,경상북도,영주시,837,20.2,11.9,8.3,0.0,2.3,4.9,0.6,0.0,,,
414231,423032,2018-05-08,경상북도,영주시,837,20.3,5.6,14.7,0.0,2.9,7.6,1.2,0.0,,,
414232,423033,2018-05-09,경상북도,영주시,837,20.7,2.6,18.1,0.0,4.4,7.2,0.9,0.1,,,
414233,423034,2018-05-10,경상북도,영주시,837,24.6,8.8,15.8,0.0,2.9,6.7,1.1,0.0,,,
414234,423035,2018-05-11,경상북도,영주시,837,25.8,6.0,19.8,0.0,2.8,5.6,0.9,0.0,,,
414235,423036,2018-05-12,경상북도,영주시,837,15.1,11.8,3.3,15.5,1.2,2.5,0.3,0.0,,,
414236,423037,2018-05-13,경상북도,영주시,837,24.7,11.4,13.3,2.5,2.9,6.5,0.9,0.1,,,
414237,423038,2018-05-14,경상북도,영주시,837,28.2,8.8,19.4,0.0,2.6,5.7,0.9,0.0,,,
414238,423039,2018-05-15,경상북도,영주시,837,31.3,12.4,18.9,0.0,2.2,4.2,0.6,0.0,,,
414239,423040,2018-05-16,경상북도,영주시,837,22.9,17.8,5.1,0.5,1.1,2.9,0.2,0.0,,,
414240,423041,2018-05-17,경상북도,영주시,837,30.4,20.7,9.7,0.0,2.4,5.2,0.8,0.0,,,
