지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
404,강서,2024-05-18 10:00,22.6,186.7,2,0,1017.2,1018.3,59
404,강서,2024-05-18 11:00,24.1,250.4,2.6,0,1017.2,1018.3,55
404,강서,2024-05-18 12:00,24.3,265,1.9,0,1016.4,1017.5,50
404,강서,2024-05-18 13:00,24.7,229,2.2,0,1015.7,1016.8,52
404,강서,2024-05-18 14:00,25,247,1.5,0,1015.2,1016.3,49
404,강서,2024-05-18 15:00,26.5,282.7,2,0,1014.6,1015.7,51
404,강서,2024-05-18 16:00,25.6,255.9,2.6,0,1014.4,1015.5,52
404,강서,2024-05-18 17:00,24.6,296.2,3.2,0,1014.6,1015.7,55
404,강서,2024-05-18 18:00,23.9,264,2.2,0,1014.7,1015.8,57
404,강서,2024-05-18 19:00,22.1,294.1,1.9,0,1015,1016.1,63
404,강서,2024-05-18 20:00,20.8,285.9,1.1,0,1015.6,1016.7,68
404,강서,2024-05-18 21:00,20.2,278.7,1.3,0,1016.4,1017.5,70
404,강서,2024-05-18 22:00,18.6,0,.1,0,1016.6,1017.7,77
404,강서,2024-05-18 23:00,17.9,0,.1,0,1016.9,1018,82
404,강서,2024-05-19 00:00,17,27,.9,0,1016.8,1017.9,86
404,강서,2024-05-19 01:00,16.5,0,0,0,1016.5,1017.6,89
404,강서,2024-05-19 02:00,16,25.1,.5,0,1016,1017.1,91
404,강서,2024-05-19 03:00,15.5,0,.3,0,1015.5,1016.6,93
404,강서,2024-05-19 04:00,15,0,.1,0,1015.5,1016.6,94
404,강서,2024-05-19 05:00,14.9,0,0,0,1015.5,1016.6,94
404,강서,2024-05-19 06:00,14.7,0,0,0,1015.5,1016.6,95
404,강서,2024-05-19 07:00,16.5,14.5,.7,0,1015.8,1016.9,86
404,강서,2024-05-19 08:00,19.6,4.3,.6,0,1015.8,1016.9,75
404,강서,2024-05-19 09:00,21.2,24.2,1.4,0,1015.6,1016.7,66
404,강서,2024-05-19 10:00,22.4,9.9,1.5,0,1015.2,1016.3,59
404,강서,2024-05-19 11:00,24.3,9.7,1.7,0,1014.9,1016,48
404,강서,2024-05-19 12:00,25.2,346.8,2,0,1014.7,1015.8,46
404,강서,2024-05-19 13:00,26.6,37.9,1.2,0,1014,1015.1,44
404,강서,2024-05-19 14:00,27.3,340.3,2.3,0,1013,1014.1,45
404,강서,2024-05-19 15:00,27.8,301.2,2.6,0,1012.6,1013.7,45
404,강서,2024-05-19 16:00,27.2,282.5,3.2,0,1012.8,1013.9,43
404,강서,2024-05-19 17:00,26.3,288.1,3,0,1012.8,1013.9,41
404,강서,2024-05-19 18:00,25,289.9,2.8,0,1012.4,1013.5,39
404,강서,2024-05-19 19:00,22.9,286.3,2.7,0,1012.8,1013.9,48
404,강서,2024-05-19 20:00,21,258.2,1.6,0,1013.6,1014.7,62
404,강서,2024-05-19 21:00,20.6,287.6,2.5,0,1015,1016.1,66
404,강서,2024-05-19 22:00,19.7,252.3,1,0,1014.4,1015.5,68
404,강서,2024-05-19 23:00,18.7,133.2,.6,0,1013.6,1014.7,72
404,강서,2024-05-20 00:00,17.9,0,.1,0,1013,1014.1,75
404,강서,2024-05-20 01:00,18.4,0,0,0,1012.2,1013.3,76
404,강서,2024-05-20 02:00,18.7,262.7,1.1,0,1012.6,1013.7,71
404,강서,2024-05-20 03:00,18.6,279.9,1.6,0,1012.9,1014,72
404,강서,2024-05-20 04:00,18.4,323.5,1.4,0,1013.2,1014.3,74
404,강서,2024-05-20 05:00,18.3,267.5,.7,0,1013.5,1014.6,75
404,강서,2024-05-20 06:00,18.4,0,.2,0,1013.7,1014.8,72
404,강서,2024-05-20 07:00,19.1,0,.2,0,1014.5,1015.6,69
404,강서,2024-05-20 08:00,19.6,252.1,1.1,0,1014.9,1016,70
404,강서,2024-05-20 09:00,21.2,226.7,1.5,0,1014.9,1016,69
404,강서,2024-05-20 10:00,21.7,257,2.1,0,1014.9,1016,67
404,강서,2024-05-20 11:00,22,209.7,2.7,0,1014.5,1015.6,66
404,강서,2024-05-20 12:00,22.3,236.4,2.3,0,1014.5,1015.6,64
404,강서,2024-05-20 13:00,22,259,2.2,0,1014.3,1015.4,66
404,강서,2024-05-20 14:00,20.9,227.9,3.4,0,1014,1015.1,72
404,강서,2024-05-20 15:00,21,244.7,2,0,1013.7,1014.8,72
404,강서,2024-05-20 16:00,21.2,245.2,2.3,0,1013.8,1014.9,68
404,강서,2024-05-20 17:00,20.9,236.4,2.3,0,1014.1,1015.2,70
404,강서,2024-05-20 18:00,20.6,282.7,2.1,0,1014.4,1015.5,72
404,강서,2024-05-20 19:00,19.6,281.1,1.4,0,1014.7,1015.8,78
404,강서,2024-05-20 20:00,18.6,273.8,1.7,0,1015.4,1016.5,82
404,강서,2024-05-20 21:00,17.2,281.7,.7,0,1016.1,1017.2,87
404,강서,2024-05-20 22:00,16.6,299.1,.5,0,1016.6,1017.7,89
404,강서,2024-05-20 23:00,16.6,304.1,.8,0,1017.1,1018.2,90
404,강서,2024-05-21 00:00,16.7,255.3,1,0,1017.1,1018.2,89
404,강서,2024-05-21 01:00,16.9,322.8,1.6,0,1017,1018.1,89
404,강서,2024-05-21 02:00,16.8,313.8,1.7,0,1016.8,1017.9,89
404,강서,2024-05-21 03:00,16.7,0,0,0,1017,1018.1,90
404,강서,2024-05-21 04:00,16.7,358.8,1,0,1017,1018.1,90
404,강서,2024-05-21 05:00,16.8,348.3,1.1,0,1017.2,1018.3,90
404,강서,2024-05-21 06:00,16.8,348.3,1.8,0,1017.8,1018.9,90
404,강서,2024-05-21 07:00,17.2,26.9,.8,0,1018.5,1019.6,89
404,강서,2024-05-21 08:00,18.2,19,1.1,0,1018.8,1019.9,85
404,강서,2024-05-21 09:00,21.3,123,.5,0,1018.9,1020,73
404,강서,2024-05-21 10:00,22.8,83.7,.5,0,1018.8,1019.9,61
404,강서,2024-05-21 11:00,24.2,61.4,1.1,0,1018.8,1019.9,57
404,강서,2024-05-21 12:00,24.3,143.5,1.1,0,1018.2,1019.3,56
404,강서,2024-05-21 13:00,26.5,116.1,1.5,0,1017.6,1018.7,48
404,강서,2024-05-21 14:00,26.6,60.9,.9,0,1016.9,1018,43
404,강서,2024-05-21 15:00,28.3,147.5,1.5,0,1016.3,1017.4,39
404,강서,2024-05-21 16:00,27.5,279.4,2.7,0,1015.6,1016.7,53
404,강서,2024-05-21 17:00,26.1,305.1,3,0,1015.6,1016.7,55
404,강서,2024-05-21 18:00,24.8,277.3,1.8,0,1015.8,1016.9,61
404,강서,2024-05-21 19:00,22.9,270.6,1.5,0,1016.2,1017.3,65
404,강서,2024-05-21 20:00,21.1,277.6,1.7,0,1016.6,1017.7,70
404,강서,2024-05-21 21:00,20,281.9,1.7,0,1017.5,1018.6,76
404,강서,2024-05-21 22:00,19.4,264.1,1,0,1017.8,1018.9,78
404,강서,2024-05-21 23:00,19.1,297.6,.9,0,1017.8,1018.9,80
404,강서,2024-05-22 00:00,18.1,290.3,1,0,1017.7,1018.8,84
405,양천,2024-05-16 01:00,7.9,303.9,2.1,0,1009.5,1012.3,87
405,양천,2024-05-16 02:00,8,330.7,1.6,0,1009.2,1012,86
405,양천,2024-05-16 03:00,8.2,341,1.6,0,1009.2,1012,86
405,양천,2024-05-16 04:00,8.4,303,1.4,0,1009.1,1011.9,87
405,양천,2024-05-16 05:00,8.4,251.6,1.2,0,1008.8,1011.6,85
405,양천,2024-05-16 06:00,9.1,257.6,.9,0,1008.8,1011.6,81
405,양천,2024-05-16 07:00,10.4,290.2,1.6,0,1008.8,1011.6,75
405,양천,2024-05-16 08:00,11.1,23.2,2,0,1008.8,1011.5,69
405,양천,2024-05-16 09:00,12.7,55.4,1.5,0,1008.7,1011.4,62
405,양천,2024-05-16 10:00,14.8,251.1,2.1,,1008.4,1011.1,52
405,양천,2024-05-16 11:00,17.1,301.2,2.3,,1007.7,1010.4,42
405,양천,2024-05-16 12:00,18.1,265.1,2.7,,1007.1,1009.8,32
405,양천,2024-05-16 13:00,19.5,290.7,1.6,,1006.3,1008.9,34
405,양천,2024-05-16 14:00,19.1,254.5,2.3,,1005.8,1008.4,31
405,양천,2024-05-16 15:00,18.9,204.5,3.3,,1005.5,1008.1,33
405,양천,2024-05-16 16:00,19.4,225.3,2.3,,1005.3,1007.9,29
405,양천,2024-05-16 17:00,19.4,220.1,2.1,,1005.4,1008,27
405,양천,2024-05-16 18:00,18.2,214.3,2.8,,1005.7,1008.4,28
405,양천,2024-05-16 19:00,17.2,226.8,1.4,,1006.3,1009,36
405,양천,2024-05-16 20:00,16,186.1,1.4,,1007.2,1009.9,49
405,양천,2024-05-16 21:00,15.4,204.7,1,,1007.8,1010.5,54
405,양천,2024-05-16 22:00,14.9,209.9,1.5,,1008.4,1011.1,54
405,양천,2024-05-16 23:00,13.9,184.8,.9,,1008.4,1011.1,66
405,양천,2024-05-17 00:00,13.6,181.1,1.9,,1008.7,1011.4,75
405,양천,2024-05-17 01:00,13,163,1,0,1009.2,1011.9,80
405,양천,2024-05-17 02:00,13,164.7,2.1,0,1009.4,1012.1,81
405,양천,2024-05-17 03:00,12.7,166.7,1.5,0,1009.7,1012.4,84
405,양천,2024-05-17 04:00,12.6,166.3,1.5,0,1010,1012.7,85
405,양천,2024-05-17 05:00,12.5,171.7,.7,0,1010.2,1012.9,85
405,양천,2024-05-17 06:00,13.3,0,.2,0,1010.8,1013.5,82
405,양천,2024-05-17 07:00,14.8,106.1,1.2,0,1011.2,1013.9,78
405,양천,2024-05-17 08:00,16.3,105.3,1.7,0,1011.5,1014.2,71
405,양천,2024-05-17 09:00,17.3,144.7,2,0,1011.8,1014.5,64
405,양천,2024-05-17 10:00,19.2,197,1.7,0,1011.8,1014.5,57
405,양천,2024-05-17 11:00,21.2,145.8,1.6,0,1011.7,1014.3,52
405,양천,2024-05-17 12:00,22.4,149.5,2.2,0,1011.3,1013.9,44
405,양천,2024-05-17 13:00,24,218.4,2.6,0,1010.8,1013.4,40
405,양천,2024-05-17 14:00,24.2,224.9,2.5,0,1010.7,1013.3,42
405,양천,2024-05-17 15:00,23.1,217.7,3.1,0,1010.8,1013.4,49
405,양천,2024-05-17 16:00,22.9,198.9,2.6,0,1010.7,1013.3,48
405,양천,2024-05-17 17:00,22.8,207.1,3.3,0,1010.6,1013.2,46
405,양천,2024-05-17 18:00,22.3,239.1,2.7,0,1010.7,1013.3,50
405,양천,2024-05-17 19:00,21.3,205.9,2.1,0,1011.4,1014,56
405,양천,2024-05-17 20:00,20.3,204.2,1.7,0,1012,1014.7,57
405,양천,2024-05-17 21:00,19.7,197,2.1,0,1013,1015.6,53
405,양천,2024-05-17 22:00,18.9,184.1,2.1,0,1013.8,1016.5,58
405,양천,2024-05-17 23:00,18.5,210.5,1.8,0,1013.9,1016.6,62
405,양천,2024-05-18 00:00,17.7,0,.3,0,1014.1,1016.8,67
405,양천,2024-05-18 01:00,17.2,168.2,1.3,0,1014,1016.7,71
405,양천,2024-05-18 02:00,17.3,189.5,.9,0,1014.3,1017,68
405,양천,2024-05-18 03:00,16.8,173.2,.9,0,1014,1016.7,71
405,양천,2024-05-18 04:00,16.8,0,0,0,1014.3,1017,70
405,양천,2024-05-18 05:00,16.7,0,.1,0,1014.5,1017.2,72
405,양천,2024-05-18 06:00,17.1,0,.1,0,1014.9,1017.6,71
